######################################################
# SECTION (No. 1): Z=0.000
# No. POINTS: 201
# Size: 20.62 X 12.31
# LENGTH: 51.663
# AREA: 183.961
# BARYCENTER: X=0.045 Y=-0.000
######################################################
# POINTS SEQUENCE:
X:-0.533 Y:-6.144 Z:0.000
X:-0.340 Y:-6.151 Z:0.000
X:-0.146 Y:-6.154 Z:0.000
X:0.047 Y:-6.156 Z:0.000
X:0.241 Y:-6.156 Z:0.000
X:0.434 Y:-6.150 Z:0.000
X:0.628 Y:-6.144 Z:0.000
X:0.822 Y:-6.134 Z:0.000
X:1.016 Y:-6.119 Z:0.000
X:1.212 Y:-6.104 Z:0.000
X:1.407 Y:-6.084 Z:0.000
X:1.603 Y:-6.060 Z:0.000
X:1.801 Y:-6.036 Z:0.000
X:1.999 Y:-6.006 Z:0.000
X:2.198 Y:-5.973 Z:0.000
X:2.399 Y:-5.939 Z:0.000
X:2.599 Y:-5.897 Z:0.000
X:2.802 Y:-5.854 Z:0.000
X:3.007 Y:-5.808 Z:0.000
X:3.211 Y:-5.755 Z:0.000
X:3.419 Y:-5.701 Z:0.000
X:3.626 Y:-5.640 Z:0.000
X:3.836 Y:-5.575 Z:0.000
X:4.048 Y:-5.507 Z:0.000
X:4.259 Y:-5.430 Z:0.000
X:4.475 Y:-5.353 Z:0.000
X:4.691 Y:-5.267 Z:0.000
X:4.908 Y:-5.176 Z:0.000
X:5.127 Y:-5.080 Z:0.000
X:5.346 Y:-4.976 Z:0.000
X:5.570 Y:-4.869 Z:0.000
X:5.789 Y:-4.750 Z:0.000
X:6.014 Y:-4.629 Z:0.000
X:6.236 Y:-4.497 Z:0.000
X:6.462 Y:-4.359 Z:0.000
X:6.683 Y:-4.211 Z:0.000
X:6.908 Y:-4.057 Z:0.000
X:7.130 Y:-3.894 Z:0.000
X:7.353 Y:-3.723 Z:0.000
X:7.570 Y:-3.540 Z:0.000
X:7.789 Y:-3.350 Z:0.000
X:8.002 Y:-3.150 Z:0.000
X:8.216 Y:-2.941 Z:0.000
X:8.420 Y:-2.721 Z:0.000
X:8.625 Y:-2.492 Z:0.000
X:8.817 Y:-2.252 Z:0.000
X:9.009 Y:-2.003 Z:0.000
X:9.188 Y:-1.744 Z:0.000
X:9.363 Y:-1.476 Z:0.000
X:9.528 Y:-1.198 Z:0.000
X:10.234 Y:-0.963 Z:0.000
X:10.327 Y:-0.647 Z:0.000
X:10.350 Y:-0.324 Z:0.000
X:10.356 Y:-0.000 Z:0.000
################### END OF FILE ######################
